feature,method,rmse,mae,distribution_drift,bias,absolute_bias,variance,execution_time_seconds,downstream_model_accuracy,masked_values
Average_Length_of_Stay,Forward Fill,1.430702406162791,1.1410416666666665,0.17447916666666682,0.03083333333333334,0.03083333333333334,0.965733656141493,0.03154319999975996,0.6625,192
Emergency_Cases,Forward Fill,10.297147663309486,8.0625,0.9374999999999998,-0.125,0.125,50.92119683159723,0.03154319999975996,0.6625,192
Covid_Cases,Forward Fill,4.76696531698452,3.296875,0.43229166666666663,-0.06770833333333333,0.06770833333333333,27.30034722222223,0.03154319999975996,0.6625,192
ICU_Beds,Backward Fill,10.932081991398833,9.229166666666666,0.71875,-0.6458333333333334,0.6458333333333334,55.908610026041664,0.029860699999517237,0.65,192
General_Beds,Backward Fill,30.404906402311674,24.84375,3.1875000000000004,1.8541666666666667,1.8541666666666667,1295.6399468315972,0.029860699999517237,0.65,192
Emergency_Beds,Backward Fill,14.595411664857783,12.057291666666666,0.9322916666666664,0.421875,0.421875,115.58113606770833,0.029860699999517237,0.65,192
Occupied_Beds,Backward Fill,33.36220104149805,25.723958333333332,3.5572916666666683,1.5989583333333333,1.5989583333333333,1101.1665581597224,0.029860699999517237,0.65,192
Available_Beds,Backward Fill,18.87624168101267,14.1875,2.3020833333333317,1.5,1.5,562.4648166232638,0.029860699999517237,0.65,192
Admissions,Backward Fill,11.625224012178576,9.28125,2.239583333333334,2.2291666666666665,2.2291666666666665,89.34798177083333,0.029860699999517237,0.65,192
Discharges,Backward Fill,14.913465671443822,11.890625,1.4635416666666665,1.2447916666666667,1.2447916666666667,110.36067708333333,0.029860699999517237,0.65,192
Doctors,Backward Fill,2.7688746209726918,2.2083333333333335,0.47916666666666674,-0.09375,0.09375,8.766248914930555,0.029860699999517237,0.65,192
Nurses,Backward Fill,10.682564649933086,8.489583333333334,1.760416666666666,1.375,1.375,114.04229058159721,0.029860699999517237,0.65,192
Staff_On_Duty,Backward Fill,17.41048534648015,13.510416666666666,1.8437500000000002,0.6041666666666666,0.6041666666666666,299.3177083333333,0.029860699999517237,0.65,192
Average_Length_of_Stay,Backward Fill,1.454248445646983,1.1695833333333334,0.11812500000000004,0.03322916666666669,0.03322916666666669,1.0618071370442708,0.029860699999517237,0.65,192
Emergency_Cases,Backward Fill,10.033797054621612,7.875,1.0104166666666665,-0.8333333333333334,0.8333333333333334,52.809651692708336,0.029860699999517237,0.65,192
Covid_Cases,Backward Fill,3.7527767497325675,2.6666666666666665,0.42708333333333337,-0.15625,0.15625,26.860649956597218,0.029860699999517237,0.65,192
ICU_Beds,Linear Interpolation,9.782553383163542,8.322048611111112,1.8828125,-1.0234374999999998,1.0234374999999998,33.115498860677086,0.09353459999965708,0.6525,192
General_Beds,Linear Interpolation,26.03027695371367,20.9796875,5.2578125,-0.17447916666666644,0.17447916666666644,985.6582976164641,0.09353459999965708,0.6525,192
Emergency_Beds,Linear Interpolation,12.9701346315723,10.585069444444445,2.263020833333334,-0.18749999999999997,0.18749999999999997,66.24772135416667,0.09353459999965708,0.6525,192
Occupied_Beds,Linear Interpolation,26.384370044382123,20.598090277777775,3.2960069444444446,1.0859374999999998,1.0859374999999998,735.8774888780382,0.09353459999965708,0.6525,192
